學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度,city_name,總計,sector,男生計,女生計,一年級男,一年級女,二年級男,二年級女,三年級男,三年級女,四年級男,四年級女,五年級男,五年級女,六年級男,六年級女,七年級男,七年級女,延修生男,延修生女,華語先修生男,華語先修生女
1078,致理科技大學,N 修,B 四技,252,516,286,470,225,508,226,462,0.0,0.0,0.0,0.0,0.0,0.0,68,78.0,01 新北市,2 技職,105,新北市,3091.0,私立,,,,,,,,,,,,,,,,,,,,
1078,致理科技大學,N 修,C 二技,0,0,0,0,49,103,25,73,0.0,0.0,0.0,0.0,0.0,0.0,10,9.0,01 新北市,2 技職,105,新北市,269.0,私立,,,,,,,,,,,,,,,,,,,,
1079,康寧大學,D 日,M 碩士,27,58,18,21,12,6,4,3,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30 臺北市,1 一般,105,臺北市,150.0,私立,,,,,,,,,,,,,,,,,,,,
1079,康寧大學,D 日,B 學士,84,84,131,89,155,185,165,166,0.0,0.0,0.0,0.0,0.0,0.0,49,29.0,30 臺北市,1 一般,105,臺北市,1137.0,私立,,,,,,,,,,,,,,,,,,,,
1079,康寧大學,D 日,2 二專,5,14,5,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,30 臺北市,2 技職,105,臺北市,38.0,私立,,,,,,,,,,,,,,,,,,,,
1079,康寧大學,D 日,5 五專,151,501,132,494,124,437,125,427,98.0,423.0,0.0,0.0,0.0,0.0,5,26.0,30 臺北市,2 技職,105,臺北市,2943.0,私立,,,,,,,,,,,,,,,,,,,,
1079,康寧大學,N 職,M 碩士,37,52,16,33,15,8,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30 臺北市,1 一般,105,臺北市,167.0,私立,,,,,,,,,,,,,,,,,,,,
1079,康寧大學,N 修,2 二專,45,149,22,118,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,30 臺北市,2 技職,105,臺北市,338.0,私立,,,,,,,,,,,,,,,,,,,,
1079,康寧大學,P 進,B 學士,121,56,96,51,57,38,30,26,0.0,0.0,0.0,0.0,0.0,0.0,13,1.0,30 臺北市,1 一般,105,臺北市,489.0,私立,,,,,,,,,,,,,,,,,,,,
1125,中信金融管理學院,D 日,M 碩士,7,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21 臺南市,1 一般,105,臺南市,16.0,私立,,,,,,,,,,,,,,,,,,,,
1125,中信金融管理學院,D 日,B 學士,70,82,61,78,6,4,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,21 臺南市,1 一般,105,臺南市,313.0,私立,,,,,,,,,,,,,,,,,,,,
1125,中信金融管理學院,P 進,B 學士,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,21 臺南市,1 一般,105,臺南市,2.0,私立,,,,,,,,,,,,,,,,,,,,
1148,大漢技術學院,D 日,M 碩士,33,5,19,15,16,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,15 花蓮縣,2 技職,105,花蓮縣,89.0,私立,,,,,,,,,,,,,,,,,,,,
1148,大漢技術學院,D 日,B 四技,65,30,60,32,77,33,83,42,0.0,0.0,0.0,0.0,0.0,0.0,42,26.0,15 花蓮縣,2 技職,105,花蓮縣,490.0,私立,,,,,,,,,,,,,,,,,,,,
1148,大漢技術學院,D 日,C 二技,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,15 花蓮縣,2 技職,105,花蓮縣,2.0,私立,,,,,,,,,,,,,,,,,,,,
1148,大漢技術學院,N 修,B 四技,78,31,64,33,45,33,54,46,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0,15 花蓮縣,2 技職,105,花蓮縣,391.0,私立,,,,,,,,,,,,,,,,,,,,
1148,大漢技術學院,N 修,C 二技,0,0,0,0,107,78,66,43,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,15 花蓮縣,2 技職,105,花蓮縣,295.0,私立,,,,,,,,,,,,,,,,,,,,
1148,大漢技術學院,N 修,2 二專,68,60,45,55,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,15 花蓮縣,2 技職,105,花蓮縣,230.0,私立,,,,,,,,,,,,,,,,,,,,
1159,和春技術學院,D 日,M 碩士,18,2,14,2,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12 高雄市,2 技職,105,高雄市,39.0,私立,,,,,,,,,,,,,,,,,,,,
1159,和春技術學院,D 日,B 四技,136,121,146,117,146,56,137,71,0.0,0.0,0.0,0.0,0.0,0.0,99,31.0,12 高雄市,2 技職,105,高雄市,1060.0,私立,,,,,,,,,,,,,,,,,,,,
1159,和春技術學院,D 日,C 二技,0,0,0,0,12,18,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12 高雄市,2 技職,105,高雄市,42.0,私立,,,,,,,,,,,,,,,,,,,,
1159,和春技術學院,D 日,5 五專,60,69,43,22,35,18,41,34,44.0,23.0,0.0,0.0,0.0,0.0,15,3.0,12 高雄市,2 技職,105,高雄市,407.0,私立,,,,,,,,,,,,,,,,,,,,
1159,和春技術學院,N 修,B 四技,83,59,120,33,87,34,99,31,0.0,0.0,0.0,0.0,0.0,0.0,56,19.0,12 高雄市,2 技職,105,高雄市,621.0,私立,,,,,,,,,,,,,,,,,,,,
1159,和春技術學院,N 修,C 二技,0,0,0,0,180,82,129,51,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,12 高雄市,2 技職,105,高雄市,446.0,私立,,,,,,,,,,,,,,,,,,,,
1159,和春技術學院,N 修,2 二專,297,102,263,93,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.0,12 高雄市,2 技職,105,高雄市,772.0,私立,,,,,,,,,,,,,,,,,,,,
1166,亞東技術學院,D 日,M 碩士,11,5,7,5,5,1,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,01 新北市,2 技職,105,新北市,37.0,私立,,,,,,,,,,,,,,,,,,,,
1166,亞東技術學院,D 日,B 四技,746,269,744,296,732,320,758,327,0.0,0.0,0.0,0.0,0.0,0.0,152,28.0,01 新北市,2 技職,105,新北市,4372.0,私立,,,,,,,,,,,,,,,,,,,,
1166,亞東技術學院,D 日,C 二技,0,0,0,0,0,92,5,84,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,01 新北市,2 技職,105,新北市,191.0,私立,,,,,,,,,,,,,,,,,,,,
1166,亞東技術學院,D 日,2 二專,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,01 新北市,2 技職,105,新北市,2.0,私立,,,,,,,,,,,,,,,,,,,,
1166,亞東技術學院,N 修,B 四技,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,01 新北市,2 技職,105,新北市,8.0,私立,,,,,,,,,,,,,,,,,,,,
1166,亞東技術學院,N 修,C 二技,0,0,0,0,1,24,0,26,0.0,24.0,0.0,0.0,0.0,0.0,0,0.0,01 新北市,2 技職,105,新北市,75.0,私立,,,,,,,,,,,,,,,,,,,,
1168,南亞技術學院,D 日,M 碩士,12,9,11,1,6,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,03 桃園市,2 技職,105,桃園市,44.0,私立,,,,,,,,,,,,,,,,,,,,
1168,南亞技術學院,D 日,B 四技,330,268,337,275,386,332,471,422,0.0,0.0,0.0,0.0,0.0,0.0,140,87.0,03 桃園市,2 技職,105,桃園市,3048.0,私立,,,,,,,,,,,,,,,,,,,,
1168,南亞技術學院,D 日,5 五專,56,48,73,68,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,03 桃園市,2 技職,105,桃園市,245.0,私立,,,,,,,,,,,,,,,,,,,,
1168,南亞技術學院,N 修,B 四技,179,69,161,64,159,94,140,93,0.0,0.0,0.0,0.0,0.0,0.0,49,28.0,03 桃園市,2 技職,105,桃園市,1036.0,私立,,,,,,,,,,,,,,,,,,,,
1168,南亞技術學院,N 修,2 二專,58,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,03 桃園市,2 技職,105,桃園市,67.0,私立,,,,,,,,,,,,,,,,,,,,
1176,稻江科技暨管理學院,D 日,M 碩士,14,22,15,10,0,3,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10 嘉義縣,1 一般,105,嘉義縣,67.0,私立,,,,,,,,,,,,,,,,,,,,
1176,稻江科技暨管理學院,D 日,B 學士,248,258,122,110,151,155,132,116,0.0,0.0,0.0,0.0,0.0,0.0,34,26.0,10 嘉義縣,1 一般,105,嘉義縣,1352.0,私立,,,,,,,,,,,,,,,,,,,,
1176,稻江科技暨管理學院,N 職,M 碩士,17,10,8,11,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10 嘉義縣,1 一般,105,嘉義縣,48.0,私立,,,,,,,,,,,,,,,,,,,,
1176,稻江科技暨管理學院,N 修,C 二技,0,0,0,0,7,35,8,39,0.0,0.0,0.0,0.0,0.0,0.0,2,4.0,10 嘉義縣,2 技職,105,嘉義縣,95.0,私立,,,,,,,,,,,,,,,,,,,,
1176,稻江科技暨管理學院,P 進,B 學士,69,94,50,69,55,103,62,103,0.0,0.0,0.0,0.0,0.0,0.0,12,7.0,10 嘉義縣,1 一般,105,嘉義縣,624.0,私立,,,,,,,,,,,,,,,,,,,,
1179,德霖技術學院,D 日,B 四技,397,242,434,317,451,348,368,308,0.0,0.0,0.0,0.0,0.0,0.0,114,47.0,01 新北市,2 技職,105,新北市,3026.0,私立,,,,,,,,,,,,,,,,,,,,
1179,德霖技術學院,D 日,C 二技,0,0,0,0,8,31,10,22,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,01 新北市,2 技職,105,新北市,75.0,私立,,,,,,,,,,,,,,,,,,,,
1179,德霖技術學院,D 日,5 五專,247,119,210,114,189,121,211,122,231.0,127.0,0.0,0.0,0.0,0.0,20,14.0,01 新北市,2 技職,105,新北市,1725.0,私立,,,,,,,,,,,,,,,,,,,,
1179,德霖技術學院,N 修,B 四技,374,200,232,117,165,94,203,97,0.0,0.0,0.0,0.0,0.0,0.0,61,19.0,01 新北市,2 技職,105,新北市,1562.0,私立,,,,,,,,,,,,,,,,,,,,
1179,德霖技術學院,N 修,C 二技,0,0,0,0,155,90,153,61,0.0,0.0,0.0,0.0,0.0,0.0,10,2.0,01 新北市,2 技職,105,新北市,471.0,私立,,,,,,,,,,,,,,,,,,,,
1179,德霖技術學院,N 修,2 二專,101,70,92,112,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15,8.0,01 新北市,2 技職,105,新北市,398.0,私立,,,,,,,,,,,,,,,,,,,,
1182,蘭陽技術學院,D 日,B 四技,93,98,84,50,77,76,152,85,0.0,0.0,0.0,0.0,0.0,0.0,33,22.0,02 宜蘭縣,2 技職,105,宜蘭縣,770.0,私立,,,,,,,,,,,,,,,,,,,,
1182,蘭陽技術學院,D 日,C 二技,0,0,0,0,0,0,14,9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,02 宜蘭縣,2 技職,105,宜蘭縣,25.0,私立,,,,,,,,,,,,,,,,,,,,
1182,蘭陽技術學院,D 日,5 五專,109,58,85,67,33,22,75,41,92.0,60.0,0.0,0.0,0.0,0.0,21,4.0,02 宜蘭縣,2 技職,105,宜蘭縣,667.0,私立,,,,,,,,,,,,,,,,,,,,
1182,蘭陽技術學院,N 修,2 二專,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,02 宜蘭縣,2 技職,105,宜蘭縣,1.0,私立,,,,,,,,,,,,,,,,,,,,
1183,黎明技術學院,D 日,B 四技,399,389,354,354,375,322,384,265,0.0,0.0,0.0,0.0,0.0,0.0,68,25.0,01 新北市,2 技職,105,新北市,2935.0,私立,,,,,,,,,,,,,,,,,,,,
1183,黎明技術學院,D 日,C 二技,0,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,01 新北市,2 技職,105,新北市,9.0,私立,,,,,,,,,,,,,,,,,,,,
1183,黎明技術學院,D 日,5 五專,96,19,142,17,139,25,155,23,155.0,23.0,0.0,0.0,0.0,0.0,24,7.0,01 新北市,2 技職,105,新北市,825.0,私立,,,,,,,,,,,,,,,,,,,,
1183,黎明技術學院,N 修,B 四技,161,89,131,39,122,52,85,45,0.0,0.0,0.0,0.0,0.0,0.0,26,8.0,01 新北市,2 技職,105,新北市,758.0,私立,,,,,,,,,,,,,,,,,,,,
1183,黎明技術學院,N 修,C 二技,0,0,0,0,1,49,5,54,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,01 新北市,2 技職,105,新北市,109.0,私立,,,,,,,,,,,,,,,,,,,,
1183,黎明技術學院,N 修,2 二專,9,61,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,01 新北市,2 技職,105,新北市,73.0,私立,,,,,,,,,,,,,,,,,,,,
1184,東方設計學院,D 日,D 博士,6,6,5,4,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12 高雄市,2 技職,105,高雄市,24.0,私立,,,,,,,,,,,,,,,,,,,,
1184,東方設計學院,D 日,M 碩士,22,38,18,15,6,5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12 高雄市,2 技職,105,高雄市,108.0,私立,,,,,,,,,,,,,,,,,,,,
1184,東方設計學院,D 日,B 四技,170,149,197,173,181,227,205,255,4.0,4.0,0.0,0.0,0.0,0.0,41,34.0,12 高雄市,2 技職,105,高雄市,1640.0,私立,,,,,,,,,,,,,,,,,,,,
1184,東方設計學院,D 日,C 二技,0,0,0,0,8,12,12,5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,12 高雄市,2 技職,105,高雄市,38.0,私立,,,,,,,,,,,,,,,,,,,,
1184,東方設計學院,D 日,5 五專,127,150,173,208,113,178,128,214,121.0,169.0,0.0,0.0,0.0,0.0,8,6.0,12 高雄市,2 技職,105,高雄市,1595.0,私立,,,,,,,,,,,,,,,,,,,,
1184,東方設計學院,N 職,M 碩士,9,6,10,2,4,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12 高雄市,2 技職,105,高雄市,36.0,私立,,,,,,,,,,,,,,,,,,,,
1184,東方設計學院,N 修,B 四技,24,38,23,30,8,7,13,10,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,12 高雄市,2 技職,105,高雄市,155.0,私立,,,,,,,,,,,,,,,,,,,,
1185,經國管理暨健康學院,D 日,M 碩士,4,6,1,8,2,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17 基隆市,2 技職,105,基隆市,24.0,私立,,,,,,,,,,,,,,,,,,,,
1185,經國管理暨健康學院,D 日,B 四技,189,350,133,310,160,244,146,238,0.0,0.0,0.0,0.0,0.0,0.0,51,30.0,17 基隆市,2 技職,105,基隆市,1851.0,私立,,,,,,,,,,,,,,,,,,,,
1185,經國管理暨健康學院,D 日,C 二技,0,0,0,0,6,54,2,61,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17 基隆市,2 技職,105,基隆市,123.0,私立,,,,,,,,,,,,,,,,,,,,
1185,經國管理暨健康學院,D 日,5 五專,106,221,100,246,65,243,61,240,65.0,245.0,0.0,0.0,0.0,0.0,7,29.0,17 基隆市,2 技職,105,基隆市,1628.0,私立,,,,,,,,,,,,,,,,,,,,
1185,經國管理暨健康學院,N 職,M 碩士,7,13,5,14,0,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17 基隆市,2 技職,105,基隆市,47.0,私立,,,,,,,,,,,,,,,,,,,,
1185,經國管理暨健康學院,N 修,B 四技,22,13,35,65,23,36,24,30,0.0,0.0,0.0,0.0,0.0,0.0,11,11.0,17 基隆市,2 技職,105,基隆市,270.0,私立,,,,,,,,,,,,,,,,,,,,
1185,經國管理暨健康學院,N 修,C 二技,0,0,0,0,3,97,6,69,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,17 基隆市,2 技職,105,基隆市,179.0,私立,,,,,,,,,,,,,,,,,,,,
1187,崇右技術學院,D 日,M 碩士,19,21,18,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17 基隆市,2 技職,105,基隆市,78.0,私立,,,,,,,,,,,,,,,,,,,,
1187,崇右技術學院,D 日,B 四技,259,295,281,301,242,273,220,252,0.0,0.0,0.0,0.0,0.0,0.0,87,80.0,17 基隆市,2 技職,105,基隆市,2290.0,私立,,,,,,,,,,,,,,,,,,,,
1187,崇右技術學院,D 日,5 五專,41,43,43,45,41,43,50,64,37.0,118.0,0.0,0.0,0.0,0.0,7,12.0,17 基隆市,2 技職,105,基隆市,544.0,私立,,,,,,,,,,,,,,,,,,,,
1188,大同技術學院,D 日,B 四技,152,198,187,187,163,209,192,215,0.0,0.0,0.0,0.0,0.0,0.0,25,17.0,20 嘉義市,2 技職,105,嘉義市,1545.0,私立,,,,,,,,,,,,,,,,,,,,
1188,大同技術學院,D 日,5 五專,18,17,25,20,21,14,33,30,21.0,23.0,0.0,0.0,0.0,0.0,3,0.0,20 嘉義市,2 技職,105,嘉義市,225.0,私立,,,,,,,,,,,,,,,,,,,,
1188,大同技術學院,N 修,B 四技,42,53,24,38,28,52,32,61,0.0,0.0,0.0,0.0,0.0,0.0,7,6.0,20 嘉義市,2 技職,105,嘉義市,343.0,私立,,,,,,,,,,,,,,,,,,,,
1188,大同技術學院,N 修,C 二技,0,0,0,0,45,102,23,116,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,20 嘉義市,2 技職,105,嘉義市,289.0,私立,,,,,,,,,,,,,,,,,,,,
1188,大同技術學院,N 修,2 二專,8,10,6,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,20 嘉義市,2 技職,105,嘉義市,32.0,私立,,,,,,,,,,,,,,,,,,,,
1189,亞太創意技術學院,D 日,M 碩士,12,26,16,9,5,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,05 苗栗縣,2 技職,105,苗栗縣,76.0,私立,,,,,,,,,,,,,,,,,,,,
1189,亞太創意技術學院,D 日,B 四技,70,43,88,48,65,44,103,78,0.0,0.0,0.0,0.0,0.0,0.0,35,15.0,05 苗栗縣,2 技職,105,苗栗縣,589.0,私立,,,,,,,,,,,,,,,,,,,,
1189,亞太創意技術學院,D 日,C 二技,0,0,0,0,0,0,11,179,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,05 苗栗縣,2 技職,105,苗栗縣,190.0,私立,,,,,,,,,,,,,,,,,,,,
1189,亞太創意技術學院,N 修,C 二技,0,0,0,0,23,238,10,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,05 苗栗縣,2 技職,105,苗栗縣,408.0,私立,,,,,,,,,,,,,,,,,,,,
1189,亞太創意技術學院,N 修,2 二專,0,26,3,117,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,05 苗栗縣,2 技職,105,苗栗縣,147.0,私立,,,,,,,,,,,,,,,,,,,,
1192,臺灣觀光學院,D 日,M 碩士,3,5,2,4,2,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,15 花蓮縣,2 技職,105,花蓮縣,21.0,私立,,,,,,,,,,,,,,,,,,,,
1192,臺灣觀光學院,D 日,B 四技,71,85,86,84,83,100,91,106,0.0,0.0,0.0,0.0,0.0,0.0,56,36.0,15 花蓮縣,2 技職,105,花蓮縣,798.0,私立,,,,,,,,,,,,,,,,,,,,
1192,臺灣觀光學院,D 日,C 二技,0,0,0,0,0,0,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,15 花蓮縣,2 技職,105,花蓮縣,18.0,私立,,,,,,,,,,,,,,,,,,,,
1192,臺灣觀光學院,D 日,2 二專,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,15 花蓮縣,2 技職,105,花蓮縣,3.0,私立,,,,,,,,,,,,,,,,,,,,
1192,臺灣觀光學院,D 日,5 五專,27,27,25,37,19,40,23,28,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,15 花蓮縣,2 技職,105,花蓮縣,228.0,私立,,,,,,,,,,,,,,,,,,,,
1192,臺灣觀光學院,N 修,B 四技,9,15,16,15,12,26,8,19,0.0,0.0,0.0,0.0,0.0,0.0,3,3.0,15 花蓮縣,2 技職,105,花蓮縣,126.0,私立,,,,,,,,,,,,,,,,,,,,
1192,臺灣觀光學院,N 修,C 二技,0,0,0,0,12,11,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,15 花蓮縣,2 技職,105,花蓮縣,58.0,私立,,,,,,,,,,,,,,,,,,,,
1192,臺灣觀光學院,N 修,2 二專,8,18,9,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,15 花蓮縣,2 技職,105,花蓮縣,48.0,私立,,,,,,,,,,,,,,,,,,,,
1195,馬偕醫學院,D 日,M 碩士,4,12,4,12,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,01 新北市,1 一般,105,新北市,34.0,私立,,,,,,,,,,,,,,,,,,,,
1195,馬偕醫學院,D 日,B 學士,46,80,44,80,39,74,41,75,19.0,22.0,31.0,16.0,31.0,9.0,1,0.0,01 新北市,1 一般,105,新北市,608.0,私立,,,,,,,,,,,,,,,,,,,,
1195,馬偕醫學院,N 修,C 二技,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,01 新北市,2 技職,105,新北市,6.0,私立,,,,,,,,,,,,,,,,,,,,
1196,法鼓文理學院,D 日,D 博士,0,1,3,3,1,2,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,01 新北市,1 一般,105,新北市,12.0,私立,,,,,,,,,,,,,,,,,,,,
1196,法鼓文理學院,D 日,M 碩士,25,53,19,44,4,11,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,01 新北市,1 一般,105,新北市,173.0,私立,,,,,,,,,,,,,,,,,,,,
1196,法鼓文理學院,D 日,B 學士,7,7,4,11,5,13,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,01 新北市,1 一般,105,新北市,53.0,私立,,,,,,,,,,,,,,,,,,,,
1197,台北海洋技術學院,D 日,M 碩士,16,14,11,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,01 新北市,2 技職,105,新北市,43.0,私立,,,,,,,,,,,,,,,,,,,,
1197,台北海洋技術學院,D 日,B 四技,431,387,476,456,467,454,443,444,0.0,0.0,0.0,0.0,0.0,0.0,114,53.0,01 新北市,2 技職,105,新北市,3725.0,私立,,,,,,,,,,,,,,,,,,,,
1197,台北海洋技術學院,D 日,C 二技,0,0,0,0,74,22,77,27,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,01 新北市,2 技職,105,新北市,204.0,私立,,,,,,,,,,,,,,,,,,,,
1197,台北海洋技術學院,D 日,X 4+X,30,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35,3.0,01 新北市,2 技職,105,新北市,71.0,私立,,,,,,,,,,,,,,,,,,,,
1197,台北海洋技術學院,D 日,2 二專,60,6,68,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,01 新北市,2 技職,105,新北市,145.0,私立,,,,,,,,,,,,,,,,,,,,
1197,台北海洋技術學院,D 日,5 五專,161,97,172,111,163,106,156,118,163.0,97.0,0.0,0.0,0.0,0.0,34,6.0,01 新北市,2 技職,105,新北市,1384.0,私立,,,,,,,,,,,,,,,,,,,,
1197,台北海洋技術學院,N 修,B 四技,11,44,15,15,18,11,24,15,0.0,0.0,0.0,0.0,0.0,0.0,9,4.0,01 新北市,2 技職,105,新北市,166.0,私立,,,,,,,,,,,,,,,,,,,,
1197,台北海洋技術學院,N 修,C 二技,0,0,0,0,10,27,7,33,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,01 新北市,2 技職,105,新北市,80.0,私立,,,,,,,,,,,,,,,,,,,,
1197,台北海洋技術學院,N 修,2 二專,47,3,45,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,01 新北市,2 技職,105,新北市,96.0,私立,,,,,,,,,,,,,,,,,,,,
1282,馬偕醫護管理專科學校,D 日,2 二專,0,0,5,17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,30 臺北市,2 技職,105,臺北市,29.0,私立,,,,,,,,,,,,,,,,,,,,
1282,馬偕醫護管理專科學校,D 日,5 五專,103,750,90,736,79,701,89,683,62.0,651.0,0.0,0.0,0.0,0.0,16,61.0,30 臺北市,2 技職,105,臺北市,4021.0,私立,,,,,,,,,,,,,,,,,,,,
1282,馬偕醫護管理專科學校,N 修,2 二專,77,64,74,61,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,30 臺北市,2 技職,105,臺北市,280.0,私立,,,,,,,,,,,,,,,,,,,,
1283,仁德醫護管理專科學校,D 日,5 五專,285,1028,293,957,244,923,218,894,242.0,825.0,0.0,0.0,0.0,0.0,101,186.0,05 苗栗縣,2 技職,105,苗栗縣,6196.0,私立,,,,,,,,,,,,,,,,,,,,
1283,仁德醫護管理專科學校,N 修,2 二專,107,120,49,118,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,28,12.0,05 苗栗縣,2 技職,105,苗栗縣,434.0,私立,,,,,,,,,,,,,,,,,,,,
1284,樹人醫護管理專科學校,D 日,5 五專,346,1116,330,1070,264,893,287,943,278.0,876.0,0.0,0.0,0.0,0.0,72,138.0,12 高雄市,2 技職,105,高雄市,6613.0,私立,,,,,,,,,,,,,,,,,,,,
1284,樹人醫護管理專科學校,N 修,2 二專,153,79,154,48,28,10,13,7,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,12 高雄市,2 技職,105,高雄市,497.0,私立,,,,,,,,,,,,,,,,,,,,
1285,慈惠醫護管理專科學校,D 日,2 二專,33,38,16,44,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,13 屏東縣,2 技職,105,屏東縣,139.0,私立,,,,,,,,,,,,,,,,,,,,
1285,慈惠醫護管理專科學校,D 日,5 五專,251,876,289,860,272,784,255,801,228.0,844.0,0.0,0.0,0.0,0.0,64,200.0,13 屏東縣,2 技職,105,屏東縣,5724.0,私立,,,,,,,,,,,,,,,,,,,,
1285,慈惠醫護管理專科學校,N 修,2 二專,66,94,62,77,8,6,2,5,0.0,0.0,0.0,0.0,0.0,0.0,9,11.0,13 屏東縣,2 技職,105,屏東縣,340.0,私立,,,,,,,,,,,,,,,,,,,,
1286,耕莘健康管理專科學校,D 日,5 五專,103,962,117,940,113,886,93,875,92.0,886.0,0.0,0.0,0.0,0.0,18,91.0,01 新北市,2 技職,105,新北市,5176.0,私立,,,,,,,,,,,,,,,,,,,,
1286,耕莘健康管理專科學校,N 修,2 二專,0,43,0,37,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,01 新北市,2 技職,105,新北市,81.0,私立,,,,,,,,,,,,,,,,,,,,
1287,敏惠醫護管理專科學校,D 日,5 五專,104,713,103,668,86,650,86,662,81.0,679.0,0.0,0.0,0.0,0.0,15,50.0,11 臺南市,2 技職,105,臺南市,3897.0,私立,,,,,,,,,,,,,,,,,,,,
