學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度,city_name,總計,sector,男生計,女生計,一年級男,一年級女,二年級男,二年級女,三年級男,三年級女,四年級男,四年級女,五年級男,五年級女,六年級男,六年級女,七年級男,七年級女,延修生男,延修生女,華語先修生男,華語先修生女
33,國立虎尾科技大學,N 修,B 四技,423,80,258,64,212,65,175,62,0.0,0.0,0.0,0.0,0.0,0.0,48,12.0,09 雲林縣,2 技職,105,雲林縣,1399.0,公立,,,,,,,,,,,,,,,,,,,,
33,國立虎尾科技大學,N 修,C 二技,0,0,0,0,25,24,28,29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,09 雲林縣,2 技職,105,雲林縣,108.0,公立,,,,,,,,,,,,,,,,,,,,
34,國立高雄海洋科技大學,D 日,D 博士,8,4,5,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,50 高雄市,2 技職,105,高雄市,20.0,公立,,,,,,,,,,,,,,,,,,,,
34,國立高雄海洋科技大學,D 日,M 碩士,87,55,99,53,25,6,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,50 高雄市,2 技職,105,高雄市,338.0,公立,,,,,,,,,,,,,,,,,,,,
34,國立高雄海洋科技大學,D 日,B 四技,731,405,716,407,679,423,678,403,0.0,0.0,0.0,0.0,0.0,0.0,156,37.0,50 高雄市,2 技職,105,高雄市,4635.0,公立,,,,,,,,,,,,,,,,,,,,
34,國立高雄海洋科技大學,D 日,C 二技,0,0,0,0,87,19,63,15,0.0,0.0,0.0,0.0,0.0,0.0,29,8.0,50 高雄市,2 技職,105,高雄市,221.0,公立,,,,,,,,,,,,,,,,,,,,
34,國立高雄海洋科技大學,D 日,X 4+X,31,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,50 高雄市,2 技職,105,高雄市,35.0,公立,,,,,,,,,,,,,,,,,,,,
34,國立高雄海洋科技大學,D 日,5 五專,86,16,83,16,80,20,79,14,89.0,9.0,0.0,0.0,0.0,0.0,24,0.0,50 高雄市,2 技職,105,高雄市,516.0,公立,,,,,,,,,,,,,,,,,,,,
34,國立高雄海洋科技大學,N 職,M 碩士,51,20,43,24,11,6,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,50 高雄市,2 技職,105,高雄市,166.0,公立,,,,,,,,,,,,,,,,,,,,
34,國立高雄海洋科技大學,N 修,B 四技,319,133,262,144,249,164,248,154,0.0,0.0,0.0,0.0,0.0,0.0,105,29.0,50 高雄市,2 技職,105,高雄市,1807.0,公立,,,,,,,,,,,,,,,,,,,,
35,國立臺南藝術大學,D 日,D 博士,3,2,3,2,1,3,6,0,1.0,3.0,2.0,2.0,2.0,5.0,0,0.0,11 臺南市,1 一般,105,臺南市,35.0,公立,,,,,,,,,,,,,,,,,,,,
35,國立臺南藝術大學,D 日,M 碩士,49,111,51,87,44,74,42,73,0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,11 臺南市,1 一般,105,臺南市,534.0,公立,,,,,,,,,,,,,,,,,,,,
35,國立臺南藝術大學,D 日,B 學士,58,139,51,126,48,120,44,124,0.0,0.0,0.0,0.0,0.0,0.0,12,33.0,11 臺南市,1 一般,105,臺南市,755.0,公立,,,,,,,,,,,,,,,,,,,,
35,國立臺南藝術大學,D 日,5 五專,24,34,25,30,22,27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11 臺南市,1 一般,105,臺南市,162.0,公立,,,,,,,,,,,,,,,,,,,,
35,國立臺南藝術大學,N 職,M 碩士,3,10,5,7,2,4,0,1,2.0,5.0,2.0,1.0,0.0,1.0,0,0.0,11 臺南市,1 一般,105,臺南市,43.0,公立,,,,,,,,,,,,,,,,,,,,
36,國立臺南大學,D 日,D 博士,12,22,12,15,14,11,19,17,5.0,13.0,9.0,6.0,7.0,10.0,0,0.0,21 臺南市,1 一般,105,臺南市,172.0,公立,,,,,,,,,,,,,,,,,,,,
36,國立臺南大學,D 日,M 碩士,164,175,150,166,90,102,47,88,1.0,3.0,1.0,2.0,1.0,0.0,0,0.0,21 臺南市,1 一般,105,臺南市,990.0,公立,,,,,,,,,,,,,,,,,,,,
36,國立臺南大學,D 日,B 學士,444,497,444,515,416,518,417,504,0.0,0.0,0.0,0.0,0.0,0.0,90,55.0,21 臺南市,1 一般,105,臺南市,3900.0,公立,,,,,,,,,,,,,,,,,,,,
36,國立臺南大學,N 職,M 碩士,93,144,71,154,49,77,28,62,3.0,7.0,2.0,5.0,0.0,2.0,0,0.0,21 臺南市,1 一般,105,臺南市,697.0,公立,,,,,,,,,,,,,,,,,,,,
36,國立臺南大學,P 進,B 學士,3,10,11,12,3,15,20,33,0.0,0.0,0.0,0.0,0.0,0.0,8,5.0,21 臺南市,1 一般,105,臺南市,120.0,公立,,,,,,,,,,,,,,,,,,,,
37,國立臺北教育大學,D 日,D 博士,10,14,13,14,10,12,6,10,8.0,5.0,7.0,5.0,9.0,14.0,0,0.0,30 臺北市,3 師範,105,臺北市,137.0,公立,,,,,,,,,,,,,,,,,,,,
37,國立臺北教育大學,D 日,M 碩士,130,241,132,234,63,157,61,119,2.0,3.0,0.0,0.0,0.0,0.0,0,0.0,30 臺北市,3 師範,105,臺北市,1142.0,公立,,,,,,,,,,,,,,,,,,,,
