學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度,總計,男生計,女生計,一年級男,一年級女,二年級男,二年級女,三年級男,三年級女,四年級男,四年級女,五年級男,五年級女,六年級男,六年級女,七年級男,七年級女,延修生男,延修生女,華語先修生男,華語先修生女,city_name,sector
1046,中國科技大學,D 日,B 四技,767.0,926.0,753.0,938.0,715.0,853.0,805.0,1141.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,190.0,30 臺北市,2 技職,108,7251.0,3203.0,4048.0,,,,,,,,,,,,,,,,,,,臺北市,私立
1046,中國科技大學,N 職,M 碩士,26.0,15.0,34.0,7.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,2 技職,108,88.0,64.0,24.0,,,,,,,,,,,,,,,,,,,臺北市,私立
1046,中國科技大學,N 修,B 四技,272.0,162.0,139.0,105.0,161.0,117.0,197.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,70.0,30 臺北市,2 技職,108,1490.0,849.0,641.0,,,,,,,,,,,,,,,,,,,臺北市,私立
1046,中國科技大學,N 修,C 二技,0.0,0.0,0.0,0.0,22.0,0.0,43.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,2 技職,108,73.0,65.0,8.0,,,,,,,,,,,,,,,,,,,臺北市,私立
1046,中國科技大學,N 修,X 4+X,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30 臺北市,2 技職,108,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,,臺北市,私立
1046,中國科技大學,N 修,2 二專,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,2 技職,108,22.0,21.0,1.0,,,,,,,,,,,,,,,,,,,臺北市,私立
1047,中臺科技大學,D 日,D 博士,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19 臺中市,2 技職,108,14.0,10.0,4.0,,,,,,,,,,,,,,,,,,,臺中市,私立
1047,中臺科技大學,D 日,M 碩士,16.0,38.0,9.0,23.0,1.0,10.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19 臺中市,2 技職,108,107.0,28.0,79.0,,,,,,,,,,,,,,,,,,,臺中市,私立
1047,中臺科技大學,D 日,B 四技,490.0,714.0,495.0,719.0,412.0,655.0,491.0,679.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,126.0,19 臺中市,2 技職,108,4931.0,2038.0,2893.0,,,,,,,,,,,,,,,,,,,臺中市,私立
1047,中臺科技大學,D 日,C 二技,0.0,0.0,0.0,0.0,41.0,217.0,34.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,19 臺中市,2 技職,108,478.0,77.0,401.0,,,,,,,,,,,,,,,,,,,臺中市,私立
1047,中臺科技大學,D 日,2 二專,9.0,11.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19 臺中市,2 技職,108,43.0,19.0,24.0,,,,,,,,,,,,,,,,,,,臺中市,私立
1047,中臺科技大學,N 職,M 碩士,23.0,85.0,25.0,61.0,6.0,48.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19 臺中市,2 技職,108,286.0,60.0,226.0,,,,,,,,,,,,,,,,,,,臺中市,私立
1047,中臺科技大學,N 修,B 四技,183.0,299.0,122.0,239.0,107.0,200.0,109.0,217.0,18.0,50.0,0.0,0.0,0.0,0.0,45.0,51.0,19 臺中市,2 技職,108,1640.0,584.0,1056.0,,,,,,,,,,,,,,,,,,,臺中市,私立
1047,中臺科技大學,N 修,C 二技,0.0,0.0,0.0,0.0,34.0,347.0,33.0,253.0,15.0,39.0,0.0,0.0,0.0,0.0,21.0,161.0,19 臺中市,2 技職,108,903.0,103.0,800.0,,,,,,,,,,,,,,,,,,,臺中市,私立
1048,亞洲大學,D 日,D 博士,41.0,24.0,36.0,21.0,21.0,13.0,26.0,8.0,9.0,8.0,10.0,9.0,9.0,6.0,0.0,0.0,06 臺中市,1 一般,108,241.0,152.0,89.0,,,,,,,,,,,,,,,,,,,臺中市,私立
1048,亞洲大學,D 日,M 碩士,139.0,167.0,75.0,106.0,38.0,45.0,29.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06 臺中市,1 一般,108,640.0,281.0,359.0,,,,,,,,,,,,,,,,,,,臺中市,私立
1048,亞洲大學,D 日,B 學士,779.0,1540.0,813.0,1481.0,804.0,1468.0,817.0,1470.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,155.0,06 臺中市,1 一般,108,9490.0,3376.0,6114.0,,,,,,,,,,,,,,,,,,,臺中市,私立
1048,亞洲大學,N 職,M 碩士,118.0,133.0,58.0,60.0,13.0,14.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06 臺中市,1 一般,108,408.0,193.0,215.0,,,,,,,,,,,,,,,,,,,臺中市,私立
1048,亞洲大學,P 進,B 學士,104.0,128.0,102.0,136.0,73.0,71.0,86.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,28.0,06 臺中市,1 一般,108,910.0,426.0,484.0,,,,,,,,,,,,,,,,,,,臺中市,私立
1049,開南大學,D 日,M 碩士,29.0,74.0,26.0,29.0,21.0,11.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03 桃園市,1 一般,108,220.0,89.0,131.0,,,,,,,,,,,,,,,,,,,桃園市,私立
1049,開南大學,D 日,B 學士,452.0,537.0,463.0,484.0,457.0,458.0,465.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,189.0,03 桃園市,1 一般,108,4300.0,2060.0,2240.0,,,,,,,,,,,,,,,,,,,桃園市,私立
1049,開南大學,N 職,M 碩士,88.0,98.0,42.0,31.0,19.0,5.0,12.0,4.0,6.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,03 桃園市,1 一般,108,321.0,173.0,148.0,,,,,,,,,,,,,,,,,,,桃園市,私立
1049,開南大學,P 進,B 學士,197.0,151.0,123.0,96.0,106.0,97.0,114.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.0,03 桃園市,1 一般,108,1053.0,590.0,463.0,,,,,,,,,,,,,,,,,,,桃園市,私立
1050,佛光大學,D 日,D 博士,5.0,5.0,3.0,9.0,3.0,5.0,2.0,6.0,6.0,5.0,6.0,3.0,2.0,5.0,0.0,0.0,02 宜蘭縣,1 一般,108,65.0,27.0,38.0,,,,,,,,,,,,,,,,,,,宜蘭縣,私立
1050,佛光大學,D 日,M 碩士,68.0,111.0,35.0,57.0,32.0,42.0,30.0,63.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,02 宜蘭縣,1 一般,108,441.0,166.0,275.0,,,,,,,,,,,,,,,,,,,宜蘭縣,私立
1050,佛光大學,D 日,B 學士,324.0,412.0,299.0,386.0,297.0,333.0,334.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,52.0,02 宜蘭縣,1 一般,108,2890.0,1338.0,1552.0,,,,,,,,,,,,,,,,,,,宜蘭縣,私立
1050,佛光大學,N 職,M 碩士,33.0,34.0,13.0,16.0,14.0,4.0,16.0,5.0,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,02 宜蘭縣,1 一般,108,154.0,90.0,64.0,,,,,,,,,,,,,,,,,,,宜蘭縣,私立
1051,台南應用科技大學,D 日,M 碩士,16.0,19.0,9.0,33.0,2.0,13.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11 臺南市,2 技職,108,99.0,28.0,71.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1051,台南應用科技大學,D 日,B 四技,636.0,1441.0,599.0,1412.0,551.0,1353.0,534.0,1291.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,101.0,11 臺南市,2 技職,108,7994.0,2396.0,5598.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1051,台南應用科技大學,D 日,C 二技,0.0,0.0,0.0,0.0,35.0,199.0,57.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,11 臺南市,2 技職,108,538.0,102.0,436.0,,,,,,,,,,,,,,,,,,,臺南市,私立
