學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度,總計,男生計,女生計,一年級男,一年級女,二年級男,二年級女,三年級男,三年級女,四年級男,四年級女,五年級男,五年級女,六年級男,六年級女,七年級男,七年級女,延修生男,延修生女,華語先修生男,華語先修生女,city_name,sector
1,國立政治大學,D 日,D 博士,113.0,66.0,91.0,68.0,90.0,63.0,77.0,58.0,86.0,48.0,84.0,40.0,64.0,33.0,0.0,0.0,30 臺北市,1 一般,105,981.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
1,國立政治大學,D 日,M 碩士,617.0,755.0,622.0,712.0,352.0,422.0,217.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,1 一般,105,3962.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
1,國立政治大學,D 日,B 學士,872.0,1347.0,1017.0,1232.0,850.0,1367.0,846.0,1398.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,455.0,30 臺北市,1 一般,105,9711.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
1,國立政治大學,N 職,M 碩士,281.0,297.0,261.0,265.0,193.0,160.0,92.0,84.0,55.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,1 一般,105,1718.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
2,國立清華大學,D 日,D 博士,235.0,83.0,205.0,59.0,211.0,55.0,167.0,41.0,148.0,46.0,125.0,43.0,173.0,54.0,0.0,0.0,18 新竹市,1 一般,105,1645.0,,,,,,,,,,,,,,,,,,,,,新竹市,公立
2,國立清華大學,D 日,M 碩士,1206.0,492.0,1056.0,484.0,378.0,188.0,122.0,101.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18 新竹市,1 一般,105,4028.0,,,,,,,,,,,,,,,,,,,,,新竹市,公立
2,國立清華大學,D 日,B 學士,967.0,568.0,949.0,583.0,960.0,533.0,950.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,100.0,18 新竹市,1 一般,105,6369.0,,,,,,,,,,,,,,,,,,,,,新竹市,公立
2,國立清華大學,N 職,M 碩士,121.0,79.0,96.0,48.0,20.0,16.0,13.0,13.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,18 新竹市,1 一般,105,424.0,,,,,,,,,,,,,,,,,,,,,新竹市,公立
3,國立臺灣大學,D 日,D 博士,471.0,183.0,409.0,185.0,389.0,153.0,349.0,163.0,384.0,148.0,314.0,147.0,363.0,155.0,0.0,0.0,30 臺北市,1 一般,105,3813.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
3,國立臺灣大學,D 日,M 碩士,2478.0,1510.0,2323.0,1461.0,912.0,661.0,447.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,1 一般,105,10154.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
3,國立臺灣大學,D 日,B 學士,2108.0,1622.0,2105.0,1600.0,2057.0,1655.0,2051.0,1553.0,165.0,87.0,139.0,51.0,0.0,0.0,778.0,528.0,30 臺北市,1 一般,105,16499.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
3,國立臺灣大學,N 職,M 碩士,288.0,191.0,264.0,168.0,160.0,68.0,54.0,25.0,53.0,11.0,23.0,12.0,0.0,0.0,0.0,0.0,30 臺北市,1 一般,105,1317.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
4,國立臺灣師範大學,D 日,D 博士,108.0,124.0,119.0,125.0,123.0,103.0,100.0,101.0,96.0,86.0,77.0,68.0,78.0,58.0,0.0,0.0,30 臺北市,3 師範,105,1366.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
4,國立臺灣師範大學,D 日,M 碩士,610.0,759.0,533.0,699.0,293.0,472.0,210.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,3 師範,105,3926.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
4,國立臺灣師範大學,D 日,B 學士,885.0,1091.0,858.0,1064.0,786.0,1074.0,757.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,240.0,30 臺北市,3 師範,105,8028.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
4,國立臺灣師範大學,N 職,M 碩士,207.0,436.0,129.0,321.0,108.0,323.0,64.0,153.0,34.0,108.0,32.0,72.0,0.0,0.0,0.0,0.0,30 臺北市,3 師範,105,1987.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
5,國立成功大學,D 日,D 博士,215.0,96.0,227.0,88.0,188.0,100.0,178.0,72.0,196.0,77.0,180.0,68.0,192.0,62.0,0.0,0.0,21 臺南市,1 一般,105,1939.0,,,,,,,,,,,,,,,,,,,,,臺南市,公立
5,國立成功大學,D 日,M 碩士,1787.0,1037.0,1729.0,913.0,423.0,280.0,146.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21 臺南市,1 一般,105,6448.0,,,,,,,,,,,,,,,,,,,,,臺南市,公立
5,國立成功大學,D 日,B 學士,1695.0,1028.0,1737.0,990.0,1653.0,966.0,1595.0,958.0,69.0,38.0,43.0,35.0,54.0,19.0,411.0,162.0,21 臺南市,1 一般,105,11453.0,,,,,,,,,,,,,,,,,,,,,臺南市,公立
5,國立成功大學,N 職,M 碩士,271.0,189.0,254.0,161.0,156.0,73.0,96.0,27.0,41.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,21 臺南市,1 一般,105,1279.0,,,,,,,,,,,,,,,,,,,,,臺南市,公立
6,國立中興大學,D 日,D 博士,117.0,45.0,99.0,40.0,110.0,41.0,102.0,35.0,90.0,38.0,93.0,30.0,128.0,60.0,0.0,0.0,19 臺中市,1 一般,105,1028.0,,,,,,,,,,,,,,,,,,,,,臺中市,公立
6,國立中興大學,D 日,M 碩士,836.0,545.0,827.0,517.0,250.0,166.0,85.0,92.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19 臺中市,1 一般,105,3322.0,,,,,,,,,,,,,,,,,,,,,臺中市,公立
6,國立中興大學,D 日,B 學士,1143.0,799.0,1152.0,788.0,1096.0,789.0,1151.0,802.0,40.0,28.0,0.0,0.0,0.0,0.0,210.0,91.0,19 臺中市,1 一般,105,8089.0,,,,,,,,,,,,,,,,,,,,,臺中市,公立
6,國立中興大學,N 職,M 碩士,348.0,200.0,314.0,162.0,155.0,69.0,122.0,39.0,99.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,19 臺中市,1 一般,105,1541.0,,,,,,,,,,,,,,,,,,,,,臺中市,公立
6,國立中興大學,P 進,B 學士,117.0,122.0,90.0,135.0,90.0,123.0,82.0,149.0,62.0,88.0,0.0,0.0,0.0,0.0,5.0,4.0,19 臺中市,1 一般,105,1067.0,,,,,,,,,,,,,,,,,,,,,臺中市,公立
7,國立交通大學,D 日,D 博士,276.0,55.0,228.0,69.0,201.0,50.0,193.0,43.0,163.0,29.0,160.0,43.0,204.0,31.0,0.0,0.0,18 新竹市,1 一般,105,1745.0,,,,,,,,,,,,,,,,,,,,,新竹市,公立
7,國立交通大學,D 日,M 碩士,1412.0,644.0,1346.0,568.0,806.0,319.0,188.0,112.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18 新竹市,1 一般,105,5397.0,,,,,,,,,,,,,,,,,,,,,新竹市,公立
7,國立交通大學,D 日,B 學士,922.0,409.0,962.0,386.0,921.0,401.0,901.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,44.0,18 新竹市,1 一般,105,5478.0,,,,,,,,,,,,,,,,,,,,,新竹市,公立
7,國立交通大學,N 職,M 碩士,334.0,168.0,317.0,151.0,136.0,50.0,140.0,38.0,102.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,18 新竹市,1 一般,105,1463.0,,,,,,,,,,,,,,,,,,,,,新竹市,公立
8,國立中央大學,D 日,D 博士,167.0,65.0,123.0,51.0,110.0,46.0,105.0,29.0,111.0,22.0,87.0,29.0,95.0,33.0,0.0,0.0,03 桃園市,1 一般,105,1073.0,,,,,,,,,,,,,,,,,,,,,桃園市,公立
8,國立中央大學,D 日,M 碩士,976.0,496.0,955.0,447.0,302.0,128.0,82.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,03 桃園市,1 一般,105,3438.0,,,,,,,,,,,,,,,,,,,,,桃園市,公立
8,國立中央大學,D 日,B 學士,948.0,544.0,975.0,529.0,932.0,542.0,875.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,59.0,03 桃園市,1 一般,105,6107.0,,,,,,,,,,,,,,,,,,,,,桃園市,公立
8,國立中央大學,N 職,M 碩士,331.0,176.0,300.0,206.0,115.0,51.0,73.0,26.0,34.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,03 桃園市,1 一般,105,1325.0,,,,,,,,,,,,,,,,,,,,,桃園市,公立
9,國立中山大學,D 日,D 博士,118.0,37.0,87.0,43.0,76.0,37.0,94.0,29.0,73.0,42.0,62.0,30.0,78.0,23.0,0.0,0.0,50 高雄市,1 一般,105,829.0,,,,,,,,,,,,,,,,,,,,,高雄市,公立
9,國立中山大學,D 日,M 碩士,748.0,435.0,690.0,377.0,259.0,182.0,141.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50 高雄市,1 一般,105,2916.0,,,,,,,,,,,,,,,,,,,,,高雄市,公立
9,國立中山大學,D 日,B 學士,685.0,451.0,717.0,424.0,697.0,453.0,692.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,76.0,50 高雄市,1 一般,105,4756.0,,,,,,,,,,,,,,,,,,,,,高雄市,公立
9,國立中山大學,N 職,M 碩士,215.0,182.0,159.0,147.0,42.0,67.0,59.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50 高雄市,1 一般,105,916.0,,,,,,,,,,,,,,,,,,,,,高雄市,公立
12,國立臺灣海洋大學,D 日,D 博士,47.0,8.0,33.0,16.0,41.0,7.0,21.0,9.0,21.0,5.0,23.0,7.0,46.0,12.0,0.0,0.0,17 基隆市,1 一般,105,296.0,,,,,,,,,,,,,,,,,,,,,基隆市,公立
12,國立臺灣海洋大學,D 日,M 碩士,416.0,214.0,409.0,168.0,106.0,44.0,44.0,13.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,17 基隆市,1 一般,105,1423.0,,,,,,,,,,,,,,,,,,,,,基隆市,公立
12,國立臺灣海洋大學,D 日,B 學士,953.0,434.0,974.0,409.0,952.0,442.0,894.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,35.0,17 基隆市,1 一般,105,5672.0,,,,,,,,,,,,,,,,,,,,,基隆市,公立
12,國立臺灣海洋大學,N 職,M 碩士,170.0,90.0,130.0,107.0,47.0,19.0,22.0,12.0,7.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,17 基隆市,1 一般,105,615.0,,,,,,,,,,,,,,,,,,,,,基隆市,公立
12,國立臺灣海洋大學,N 修,X 4+X,80.0,19.0,69.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17 基隆市,1 一般,105,176.0,,,,,,,,,,,,,,,,,,,,,基隆市,公立
12,國立臺灣海洋大學,P 進,B 學士,85.0,49.0,68.0,53.0,59.0,53.0,63.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,17.0,17 基隆市,1 一般,105,525.0,,,,,,,,,,,,,,,,,,,,,基隆市,公立
13,國立中正大學,D 日,D 博士,72.0,31.0,69.0,36.0,55.0,29.0,48.0,25.0,49.0,25.0,41.0,12.0,61.0,17.0,0.0,0.0,10 嘉義縣,1 一般,105,570.0,,,,,,,,,,,,,,,,,,,,,嘉義縣,公立
13,國立中正大學,D 日,M 碩士,709.0,390.0,649.0,356.0,272.0,180.0,125.0,111.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10 嘉義縣,1 一般,105,2796.0,,,,,,,,,,,,,,,,,,,,,嘉義縣,公立
13,國立中正大學,D 日,B 學士,902.0,722.0,914.0,743.0,855.0,751.0,809.0,754.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,70.0,10 嘉義縣,1 一般,105,6672.0,,,,,,,,,,,,,,,,,,,,,嘉義縣,公立
13,國立中正大學,N 職,M 碩士,238.0,251.0,251.0,222.0,101.0,121.0,56.0,62.0,113.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,10 嘉義縣,1 一般,105,1497.0,,,,,,,,,,,,,,,,,,,,,嘉義縣,公立
14,國立高雄師範大學,D 日,D 博士,46.0,44.0,31.0,35.0,36.0,34.0,33.0,46.0,35.0,25.0,20.0,25.0,31.0,26.0,0.0,0.0,50 高雄市,3 師範,105,467.0,,,,,,,,,,,,,,,,,,,,,高雄市,公立
14,國立高雄師範大學,D 日,M 碩士,155.0,269.0,172.0,240.0,101.0,170.0,65.0,144.0,16.0,18.0,2.0,8.0,0.0,3.0,0.0,0.0,50 高雄市,3 師範,105,1363.0,,,,,,,,,,,,,,,,,,,,,高雄市,公立
14,國立高雄師範大學,D 日,B 學士,428.0,442.0,410.0,441.0,398.0,442.0,395.0,451.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,56.0,50 高雄市,3 師範,105,3525.0,,,,,,,,,,,,,,,,,,,,,高雄市,公立
14,國立高雄師範大學,N 職,M 碩士,149.0,232.0,113.0,261.0,83.0,167.0,37.0,74.0,23.0,42.0,24.0,48.0,0.0,0.0,0.0,0.0,50 高雄市,3 師範,105,1253.0,,,,,,,,,,,,,,,,,,,,,高雄市,公立
15,國立彰化師範大學,D 日,D 博士,52.0,31.0,47.0,41.0,50.0,27.0,44.0,30.0,34.0,27.0,31.0,25.0,26.0,17.0,0.0,0.0,07 彰化縣,3 師範,105,482.0,,,,,,,,,,,,,,,,,,,,,彰化縣,公立
15,國立彰化師範大學,D 日,M 碩士,290.0,244.0,292.0,258.0,129.0,168.0,65.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07 彰化縣,3 師範,105,1548.0,,,,,,,,,,,,,,,,,,,,,彰化縣,公立
15,國立彰化師範大學,D 日,B 學士,599.0,593.0,610.0,541.0,595.0,574.0,589.0,582.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,56.0,07 彰化縣,3 師範,105,4864.0,,,,,,,,,,,,,,,,,,,,,彰化縣,公立
15,國立彰化師範大學,N 職,M 碩士,190.0,262.0,199.0,253.0,59.0,76.0,42.0,63.0,25.0,25.0,54.0,50.0,0.0,0.0,0.0,0.0,07 彰化縣,3 師範,105,1298.0,,,,,,,,,,,,,,,,,,,,,彰化縣,公立
16,國立陽明大學,D 日,D 博士,117.0,58.0,88.0,57.0,92.0,58.0,61.0,65.0,69.0,46.0,60.0,44.0,72.0,43.0,0.0,0.0,30 臺北市,1 一般,105,930.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
16,國立陽明大學,D 日,M 碩士,213.0,301.0,180.0,255.0,70.0,79.0,23.0,21.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,1 一般,105,1148.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
16,國立陽明大學,D 日,B 學士,219.0,193.0,205.0,186.0,211.0,190.0,208.0,199.0,115.0,63.0,111.0,67.0,75.0,47.0,21.0,11.0,30 臺北市,1 一般,105,2121.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
16,國立陽明大學,N 職,M 碩士,20.0,36.0,15.0,33.0,3.0,14.0,3.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,1 一般,105,136.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
17,國立臺北大學,D 日,D 博士,28.0,11.0,20.0,16.0,16.0,10.0,26.0,8.0,14.0,7.0,12.0,6.0,12.0,6.0,0.0,0.0,01 新北市,1 一般,105,192.0,,,,,,,,,,,,,,,,,,,,,新北市,公立
17,國立臺北大學,D 日,M 碩士,258.0,241.0,231.0,237.0,114.0,102.0,63.0,71.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,01 新北市,1 一般,105,1324.0,,,,,,,,,,,,,,,,,,,,,新北市,公立
17,國立臺北大學,D 日,B 學士,659.0,758.0,670.0,739.0,588.0,813.0,610.0,764.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,139.0,01 新北市,1 一般,105,5878.0,,,,,,,,,,,,,,,,,,,,,新北市,公立
17,國立臺北大學,N 職,M 碩士,80.0,108.0,74.0,90.0,38.0,32.0,6.0,21.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,01 新北市,1 一般,105,470.0,,,,,,,,,,,,,,,,,,,,,新北市,公立
17,國立臺北大學,N 修,X 4+X,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01 新北市,1 一般,105,1.0,,,,,,,,,,,,,,,,,,,,,新北市,公立
17,國立臺北大學,P 進,B 學士,196.0,326.0,197.0,323.0,133.0,199.0,141.0,187.0,5.0,35.0,0.0,0.0,0.0,0.0,72.0,88.0,01 新北市,1 一般,105,1902.0,,,,,,,,,,,,,,,,,,,,,新北市,公立
18,國立嘉義大學,D 日,D 博士,24.0,11.0,17.0,16.0,16.0,15.0,13.0,10.0,9.0,8.0,6.0,13.0,15.0,18.0,0.0,0.0,20 嘉義市,1 一般,105,191.0,,,,,,,,,,,,,,,,,,,,,嘉義市,公立
18,國立嘉義大學,D 日,M 碩士,258.0,271.0,223.0,239.0,151.0,118.0,87.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20 嘉義市,1 一般,105,1442.0,,,,,,,,,,,,,,,,,,,,,嘉義市,公立
18,國立嘉義大學,D 日,B 學士,974.0,900.0,994.0,934.0,964.0,932.0,937.0,956.0,26.0,24.0,0.0,0.0,0.0,0.0,137.0,62.0,20 嘉義市,1 一般,105,7840.0,,,,,,,,,,,,,,,,,,,,,嘉義市,公立
18,國立嘉義大學,N 職,M 碩士,127.0,191.0,114.0,187.0,104.0,125.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20 嘉義市,1 一般,105,971.0,,,,,,,,,,,,,,,,,,,,,嘉義市,公立
18,國立嘉義大學,P 進,B 學士,345.0,198.0,334.0,212.0,246.0,221.0,229.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,25.0,20 嘉義市,1 一般,105,2101.0,,,,,,,,,,,,,,,,,,,,,嘉義市,公立
19,國立高雄大學,D 日,D 博士,7.0,0.0,4.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,50 高雄市,1 一般,105,22.0,,,,,,,,,,,,,,,,,,,,,高雄市,公立
19,國立高雄大學,D 日,M 碩士,196.0,79.0,154.0,76.0,54.0,27.0,41.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50 高雄市,1 一般,105,639.0,,,,,,,,,,,,,,,,,,,,,高雄市,公立
19,國立高雄大學,D 日,B 學士,620.0,431.0,585.0,441.0,565.0,457.0,577.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,41.0,50 高雄市,1 一般,105,4243.0,,,,,,,,,,,,,,,,,,,,,高雄市,公立
19,國立高雄大學,N 職,M 碩士,101.0,75.0,76.0,52.0,37.0,13.0,27.0,10.0,17.0,8.0,13.0,13.0,0.0,0.0,0.0,0.0,50 高雄市,1 一般,105,442.0,,,,,,,,,,,,,,,,,,,,,高雄市,公立
19,國立高雄大學,N 修,C 二技,0.0,0.0,0.0,0.0,35.0,29.0,34.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,16.0,50 高雄市,2 技職,105,165.0,,,,,,,,,,,,,,,,,,,,,高雄市,公立
20,國立東華大學,D 日,D 博士,43.0,21.0,26.0,29.0,52.0,24.0,28.0,15.0,32.0,15.0,20.0,10.0,22.0,21.0,0.0,0.0,15 花蓮縣,1 一般,105,358.0,,,,,,,,,,,,,,,,,,,,,花蓮縣,公立
20,國立東華大學,D 日,M 碩士,300.0,224.0,324.0,272.0,161.0,128.0,122.0,118.0,10.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,15 花蓮縣,1 一般,105,1673.0,,,,,,,,,,,,,,,,,,,,,花蓮縣,公立
20,國立東華大學,D 日,B 學士,848.0,954.0,903.0,924.0,905.0,934.0,804.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,149.0,15 花蓮縣,1 一般,105,7597.0,,,,,,,,,,,,,,,,,,,,,花蓮縣,公立
20,國立東華大學,N 職,M 碩士,104.0,115.0,78.0,96.0,34.0,53.0,28.0,46.0,12.0,13.0,12.0,26.0,0.0,0.0,0.0,0.0,15 花蓮縣,1 一般,105,617.0,,,,,,,,,,,,,,,,,,,,,花蓮縣,公立
21,國立暨南國際大學,D 日,D 博士,42.0,30.0,21.0,25.0,23.0,27.0,30.0,19.0,23.0,17.0,36.0,26.0,18.0,10.0,0.0,0.0,08 南投縣,1 一般,105,347.0,,,,,,,,,,,,,,,,,,,,,南投縣,公立
21,國立暨南國際大學,D 日,M 碩士,171.0,147.0,181.0,141.0,99.0,91.0,72.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08 南投縣,1 一般,105,987.0,,,,,,,,,,,,,,,,,,,,,南投縣,公立
21,國立暨南國際大學,D 日,B 學士,533.0,638.0,564.0,592.0,525.0,579.0,449.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,59.0,08 南投縣,1 一般,105,4572.0,,,,,,,,,,,,,,,,,,,,,南投縣,公立
21,國立暨南國際大學,N 職,M 碩士,90.0,94.0,79.0,71.0,31.0,30.0,17.0,14.0,4.0,7.0,4.0,6.0,0.0,0.0,0.0,0.0,08 南投縣,1 一般,105,447.0,,,,,,,,,,,,,,,,,,,,,南投縣,公立
22,國立臺灣科技大學,D 日,D 博士,205.0,63.0,153.0,44.0,121.0,36.0,111.0,30.0,75.0,17.0,68.0,12.0,35.0,7.0,0.0,0.0,30 臺北市,2 技職,105,977.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
22,國立臺灣科技大學,D 日,M 碩士,1155.0,480.0,943.0,397.0,205.0,93.0,58.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,2 技職,105,3352.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
22,國立臺灣科技大學,D 日,B 四技,1004.0,399.0,927.0,443.0,861.0,393.0,862.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,59.0,30 臺北市,2 技職,105,5493.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
22,國立臺灣科技大學,D 日,C 二技,0.0,0.0,0.0,0.0,25.0,39.0,13.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,30 臺北市,2 技職,105,124.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
22,國立臺灣科技大學,D 日,X 4+X,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,2 技職,105,1.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
22,國立臺灣科技大學,N 職,D 博士,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,30 臺北市,2 技職,105,13.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
22,國立臺灣科技大學,N 職,M 碩士,199.0,109.0,184.0,95.0,64.0,23.0,54.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,2 技職,105,744.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
22,國立臺灣科技大學,N 修,C 二技,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,30 臺北市,2 技職,105,25.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
23,國立雲林科技大學,D 日,D 博士,59.0,29.0,50.0,28.0,52.0,25.0,43.0,21.0,38.0,21.0,25.0,11.0,30.0,19.0,0.0,0.0,09 雲林縣,2 技職,105,451.0,,,,,,,,,,,,,,,,,,,,,雲林縣,公立
23,國立雲林科技大學,D 日,M 碩士,544.0,291.0,508.0,301.0,163.0,111.0,58.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09 雲林縣,2 技職,105,2023.0,,,,,,,,,,,,,,,,,,,,,雲林縣,公立
23,國立雲林科技大學,D 日,B 四技,986.0,622.0,930.0,632.0,904.0,596.0,840.0,582.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,72.0,09 雲林縣,2 技職,105,6282.0,,,,,,,,,,,,,,,,,,,,,雲林縣,公立
23,國立雲林科技大學,D 日,C 二技,0.0,0.0,0.0,0.0,42.0,65.0,36.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,09 雲林縣,2 技職,105,229.0,,,,,,,,,,,,,,,,,,,,,雲林縣,公立
23,國立雲林科技大學,N 職,M 碩士,199.0,150.0,131.0,105.0,65.0,47.0,25.0,23.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,09 雲林縣,2 技職,105,767.0,,,,,,,,,,,,,,,,,,,,,雲林縣,公立
24,國立屏東科技大學,D 日,D 博士,33.0,18.0,37.0,13.0,22.0,14.0,22.0,13.0,19.0,13.0,15.0,8.0,22.0,6.0,0.0,0.0,13 屏東縣,2 技職,105,255.0,,,,,,,,,,,,,,,,,,,,,屏東縣,公立
24,國立屏東科技大學,D 日,M 碩士,304.0,220.0,274.0,176.0,103.0,92.0,35.0,20.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,13 屏東縣,2 技職,105,1230.0,,,,,,,,,,,,,,,,,,,,,屏東縣,公立
24,國立屏東科技大學,D 日,B 四技,988.0,879.0,969.0,942.0,974.0,933.0,964.0,884.0,40.0,58.0,0.0,0.0,0.0,0.0,129.0,58.0,13 屏東縣,2 技職,105,7818.0,,,,,,,,,,,,,,,,,,,,,屏東縣,公立
24,國立屏東科技大學,D 日,C 二技,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13 屏東縣,2 技職,105,7.0,,,,,,,,,,,,,,,,,,,,,屏東縣,公立
24,國立屏東科技大學,N 職,M 碩士,108.0,82.0,104.0,51.0,47.0,13.0,24.0,7.0,16.0,7.0,9.0,3.0,0.0,0.0,0.0,0.0,13 屏東縣,2 技職,105,471.0,,,,,,,,,,,,,,,,,,,,,屏東縣,公立
24,國立屏東科技大學,N 修,B 四技,203.0,152.0,211.0,199.0,171.0,152.0,193.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,13 屏東縣,2 技職,105,1569.0,,,,,,,,,,,,,,,,,,,,,屏東縣,公立
25,國立臺北科技大學,D 日,D 博士,87.0,21.0,107.0,25.0,92.0,25.0,72.0,22.0,75.0,15.0,52.0,23.0,64.0,15.0,0.0,0.0,30 臺北市,2 技職,105,695.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
25,國立臺北科技大學,D 日,M 碩士,963.0,279.0,901.0,295.0,163.0,63.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,2 技職,105,2734.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
