word,fontcolor,type,correct_key,thisN,thisTrialN,thisRepN,keyStroop.keys,keyStroop.rt,keyStroop.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Welcome.started,key_instruct.started,Welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,blank500ms.started,fix.started,fix.stopped,blank500ms.stopped,trial.started,textStroop.started,keyStroop.started,trial.stopped,trials.keyStroop.keys,trials.keyStroop.rt,trials.keyStroop.duration,goodbye.started,key_instruct_2.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,True,0.02222579999943264,0.18567559999064542,7.301047599990852,space,7.090308199985884,None,,,,,,,,,,,,,,pilot,001,2026-04-02_07h48.10.078,stroop01,,2026.1.2,59.028985006234166,2026-04-02 07h48.10.453546 +0800,
,,,,,,,,,,,,,,,,,,,,,,,7.30110660000355,7.308108900004299,7.874755299999379,7.796207000006689,,,,,,,,,,pilot,001,2026-04-02_07h48.10.078,stroop01,,2026.1.2,59.028985006234166,2026-04-02 07h48.10.453546 +0800,
RED,red,congruent,up,0,0,0,None,,,0,0,0,0,7.874755299999379,,,,,,,,,9.814245599991409,9.827686300006462,,10.31268890001229,7.8647938999929465,7.874755299999379,7.874755299999379,9.81418990000384,None,,,,,pilot,001,2026-04-02_07h48.10.078,stroop01,,2026.1.2,59.028985006234166,2026-04-02 07h48.10.453546 +0800,
GREEN,green,congruent,right,1,1,0,up,0.0997526999854017,None,0,1,1,1,10.327921599993715,,,,,,,,,10.432027000002563,10.446943100017961,,10.948101300018607,10.31934889999684,10.327921599993715,10.327921599993715,10.431970900011947,up,0.0997526999854017,None,,,pilot,001,2026-04-02_07h48.10.078,stroop01,,2026.1.2,59.028985006234166,2026-04-02 07h48.10.453546 +0800,
BLUE,blue,congruent,down,2,2,0,right,0.8815944000089075,None,0,2,2,2,10.961624899995513,,,,,,,,,11.849506700003985,11.864294700004393,,12.350776200008113,10.955115699995076,10.961624899995513,10.961624899995513,11.849450700014131,right,0.8815944000089075,None,,,pilot,001,2026-04-02_07h48.10.078,stroop01,,2026.1.2,59.028985006234166,2026-04-02 07h48.10.453546 +0800,
YELLOW,yellow,congruent,left,3,3,0,down,0.9190377999912016,None,0,3,3,3,12.37993500000448,,,,,,,,,13.300568700011354,13.313680899998872,13.813720200007083,13.799695099995006,12.361899400013499,12.37993500000448,12.37993500000448,13.300512499990873,down,0.9190377999912016,None,,,pilot,001,2026-04-02_07h48.10.078,stroop01,,2026.1.2,59.028985006234166,2026-04-02 07h48.10.453546 +0800,
RED,blue,incongruent,down,4,4,0,left,1.1416477999882773,None,0,4,4,4,13.813720200007083,,,,,,,,,14.967915599991102,14.981392899993807,,15.470392799994443,13.802283800003352,13.813720200007083,13.813720200007083,14.967854899994563,left,1.1416477999882773,None,,,pilot,001,2026-04-02_07h48.10.078,stroop01,,2026.1.2,59.028985006234166,2026-04-02 07h48.10.453546 +0800,
GREEN,yellow,incongruent,left,5,5,0,left,1.8881132999958936,None,0,5,5,5,15.482987600000342,,,,,,,,,17.388113900000462,17.40067590001854,,17.88818480001646,15.474793800007319,15.482987600000342,15.482987600000342,17.388000600010855,left,1.8881132999958936,None,,,pilot,001,2026-04-02_07h48.10.078,stroop01,,2026.1.2,59.028985006234166,2026-04-02 07h48.10.453546 +0800,
BLUE,red,incongruent,up,6,6,0,down,0.7507028999971226,None,0,6,6,6,17.90108650000184,,,,,,,,,18.65643590001855,18.668249200010905,,19.157034200005,17.890884599997662,17.90108650000184,17.90108650000184,18.65621950000059,down,0.7507028999971226,None,,,pilot,001,2026-04-02_07h48.10.078,stroop01,,2026.1.2,59.028985006234166,2026-04-02 07h48.10.453546 +0800,
YELLOW,green,incongruent,right,7,7,0,None,,,0,7,7,7,19.169549300015206,,,,,,,,,21.157627400010824,21.171131000010064,,21.659019200014882,19.16145390001475,19.169549300015206,19.169549300015206,21.157567599992035,None,,,,,pilot,001,2026-04-02_07h48.10.078,stroop01,,2026.1.2,59.028985006234166,2026-04-02 07h48.10.453546 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.659157300018705,21.670575099997222,,,,,,,,,
